Suit,Requests,Assertions,FailCount,ErrorCount,FailMap
RetailUserProfileCRUD,18,28,0,0,
ProfileAssignmentRetail,17,18,0,0,
Bank Employee,14,20,0,0,
Lean Business with Business Employees,12,17,1,0,#Modify Business$Business modified
Omni Channel Profile Features With Limit,13,596,0,0,
Retail Profile Features With Limit,13,416,0,0,
