Suit,Requests,Assertions,FailCount,ErrorCount,FailMap
RetailUserProfileCRUD,18,28,0,0,
ProfileAssignmentRetail,17,17,2,1,#Modify retail user$status code is 204 : No Content#verify edit user$PUT verified
Bank Employee,14,20,0,0,
Lean Business with Business Employees,12,9,6,4,#valid business name with invalid cif$Error message 'Invalid business CIF.'#valid name and cif with existing customer Id$Error message 'CustomerID already exists.'#Add Business copy$Business created#Add Duplicate Business$Error message: 'Business already exists.'#Modify Business$Business modified#Delete Business$Business deleted
Omni Channel Profile Features With Limit,13,18,6,6,#Add Retail User Profile Feature without entitlements$Feature : undefined added without entitlements#delete feature$Feature undefined deleted#Add Retail User Profile Features with entitlements (Valid Set)$Feature undefined added with entitlemnts entitled true#Add Retail User Profile Features with entitlements (Valid Set)$Modify entitlements for feature undefined on channel profile#Add Business Profile Features with entitlements with limits$Modify entitlements for feature undefined on cross profile#Add Retail User Profile Features with entitlements with limits on Channel$Modify entitlements with limit for feature undefined on channel profile
Retail Profile Features With Limit,13,416,0,0,
