Suit,Requests,Assertions,FailCount,ErrorCount,FailMap
BusinessUserProfile_Harness,18,20,0,0,
ProfileAssignmentsBusiness,19,19,4,0,#modify business user$status code is 204 : No Content#Get Business Users with profile copy$User profile id verified#Login to CB as jolina$status code is 201 : Created#Add Business Profile with user not entitled to add$status code is 400 : Bad Request
Business Profile Features With Limit,13,1822,139,0,#Login$Logged in as primaryadmin for iteration : PPD Addenda ACH Payment Approval#Login$Logged in as primaryadmin for iteration : RCK-ACH Payment Approval#Login$Logged in as primaryadmin for iteration : TEL-ACH Payment Approval#Login$Logged in as primaryadmin for iteration : WEB Addenda ACH Payment Approval#Login$Logged in as primaryadmin for iteration : XCK-ACH Payment Approval#Login$Logged in as primaryadmin for iteration : ACH Batch Payment Entry#Login$Logged in as primaryadmin for iteration : ACH Batch Template#Add Business Profile Feature without entitlements$PPD Addenda ACH Payment Approval added without entitlements.#Add Business Profile Feature without entitlements$RCK-ACH Payment Approval added without entitlements.#Add Business Profile Feature without entitlements$TEL-ACH Payment Approval added without entitlements.#Add Business Profile Feature without entitlements$WEB Addenda ACH Payment Approval added without entitlements.#Add Business Profile Feature without entitlements$XCK-ACH Payment Approval added without entitlements.#Add Business Profile Feature without entitlements$ACH Batch Payment Entry added without entitlements.#Add Business Profile Feature without entitlements$ACH Batch Template added without entitlements.#delete feature$PPD Addenda ACH Payment Approval deleted.#delete feature$RCK-ACH Payment Approval deleted.#delete feature$TEL-ACH Payment Approval deleted.#delete feature$WEB Addenda ACH Payment Approval deleted.#delete feature$XCK-ACH Payment Approval deleted.#delete feature$ACH Batch Payment Entry deleted.#delete feature$ACH Batch Template deleted.#Add Business Profile Features with entitlements (Valid Set)$POP ACH Payment Approval added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$PPD Addenda ACH Payment Approval added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$RCK-ACH Payment Approval added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$TEL-ACH Payment Approval added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$WEB Addenda ACH Payment Approval added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$XCK-ACH Payment Approval added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$ACH Batch Payment Entry added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set)$ACH Batch Template added with entitlements entitled true.#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for POP ACH Payment Approval#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for PPD Addenda ACH Payment Approval#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for RCK-ACH Payment Approval#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for TEL-ACH Payment Approval#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for WEB Addenda ACH Payment Approval#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for XCK-ACH Payment Approval#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for ACH Batch Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for ACH Batch Template#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for CCD Addenda ACH Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for CIE Addenda ACH Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for CTX Addenda ACH Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for IAT Addenda ACH Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for IAT Addenda ACH Payment Template#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for PPD Addenda ACH Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for WEB Addenda ACH Payment Entry#Add Business Profile Features with entitlements (Valid Set) copy$Change entitlements to entitled false on channel for XCK-ACH Payment Template#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Approval Overall entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Book Freeform Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Book Templated Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Domestic Freeform Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Domestic Templated Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Drawdown Freeform Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Drawdown Templated Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire FED Freeform Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire FED Templated Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire Host Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire International Freeform Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature Wire International Templated Approval entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CCD + Addenda-ACH Payment Entry entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CCD + Addenda-ACH Payment Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CCD + Addenda-ACH Payment Entry (Debit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CIE + Addenda-ACH Payment Entry entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CIE + Addenda-ACH Payment Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CTX + Addenda-ACH Payment Entry entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CTX + Addenda-ACH Payment Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature CTX + Addenda-ACH Payment Entry (Debit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature IAT + Addenda-ACH Payment Entry entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature IAT + Addenda-ACH Payment Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature IAT + Addenda-ACH Payment Entry (Debit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature IAT + Addenda-ACH Template entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature IAT + Addenda-ACH Template Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature IAT + Addenda-ACH Template Entry (Debit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature PPD + Addenda-ACH Payment Entry entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature PPD + Addenda-ACH Payment Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature PPD + Addenda-ACH Payment Entry (Debit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature WEB + Addenda-ACH Payment Entry entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature WEB + Addenda-ACH Payment Entry (Credit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature WEB + Addenda-ACH Payment Entry (Debit) entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature XCK-ACH Template entitled false#get ProfileFeatures with children entitled false on channel Verify$Feature XCK-ACH Template Entry (Debit) entitled false#Add Business Profile Features with entitlements with limits$set limits for Cash Management#Add Business Profile Features with entitlements with limits$set limits for Positive pay#Add Business Profile Features with entitlements with limits$set limits for POP ACH Payment Approval#Add Business Profile Features with entitlements with limits$set limits for PPD Addenda ACH Payment Approval#Add Business Profile Features with entitlements with limits$set limits for RCK-ACH Payment Approval#Add Business Profile Features with entitlements with limits$set limits for TEL-ACH Payment Approval#Add Business Profile Features with entitlements with limits$set limits for WEB Addenda ACH Payment Approval#Add Business Profile Features with entitlements with limits$set limits for XCK-ACH Payment Approval#Add Business Profile Features with entitlements with limits$set limits for ACH Batch Payment Entry#Add Business Profile Features with entitlements with limits$set limits for ACH Batch Template#Add Business Profile Features with entitlements with limits$set limits for CCD Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits$set limits for CIE Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits$set limits for CTX Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits$set limits for IAT Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits$set limits for IAT Addenda ACH Payment Template#Add Business Profile Features with entitlements with limits$set limits for PPD Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits$set limits for WEB Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits$set limits for XCK-ACH Payment Template#get ProfileFeatures with children and limits verify$Limit for Per Transaction isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for Per Day isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for Per Week isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for Per Month isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for child Per Transaction isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for child Per Day isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for child Per Week isnull and MaxLimitValue is null#get ProfileFeatures with children and limits verify$Limit for child Per Month isnull and MaxLimitValue is null#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for Cash Management#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for Positive pay#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for POP ACH Payment Approval#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for PPD Addenda ACH Payment Approval#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for RCK-ACH Payment Approval#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for TEL-ACH Payment Approval#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for WEB Addenda ACH Payment Approval#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for XCK-ACH Payment Approval#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for ACH Batch Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for ACH Batch Template#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for CCD Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for CIE Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for CTX Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for IAT Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for IAT Addenda ACH Payment Template#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for PPD Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for WEB Addenda ACH Payment Entry#Add Business Profile Features with entitlements with limits on Channel$set limits on channel for XCK-ACH Payment Template#get ProfileFeatures with children and limits verify on channel$Feature Cash Flow entitled true#get ProfileFeatures with children and limits verify on channel$Feature Controlled Disbursements entitled true#get ProfileFeatures with children and limits verify on channel$Feature Lockbox entitled true#get ProfileFeatures with children and limits verify on channel$Limit for Per Transaction isnull and MaxLimitValue is : 100.00#get ProfileFeatures with children and limits verify on channel$Limit for Per Day isnull and MaxLimitValue is : 200.00#get ProfileFeatures with children and limits verify on channel$Limit for Per Week isnull and MaxLimitValue is : 400.00#get ProfileFeatures with children and limits verify on channel$Limit for Per Month isnull and MaxLimitValue is : 800.00#get ProfileFeatures with children and limits verify on channel$Feature Reverse Positive Pay entitled true#get ProfileFeatures with children and limits verify on channel$Feature Positive Pay entitled true#get ProfileFeatures with children and limits verify on channel$Limit for child Per Transaction isnull and MaxLimitValue is :100.00#get ProfileFeatures with children and limits verify on channel$Limit for child Per Day isnull and MaxLimitValue is :200.00#get ProfileFeatures with children and limits verify on channel$Limit for child Per Week isnull and MaxLimitValue is :400.00#get ProfileFeatures with children and limits verify on channel$Limit for child Per Month isnull and MaxLimitValue is :800.00#get ProfileFeatures with children and limits verify on channel$Feature Positive Pay Decision entitled true#get ProfileFeatures with children and limits verify on channel$Feature Positive Pay File Upload entitled true#get ProfileFeatures with children and limits verify on channel$Feature Positive Pay Issue Maintenance entitled true
